#,Posession: Complete release,Possesion: partial,Artist,Name,Funding,Founder,ID KvX,Artist2,Title,Label,Year,Country,Styles,KvX link,Discogs Link1,KvX link,Discogs Link2,Join,Alternate Files Found On Soulseek,Notes,Check zips (admin)
1,TRUE,FALSE,ยอดรัก สลักใจ,น้องอ้อย / แพ้เพราะจน,100%,Archiebishop,19,ยอดรัก สลักใจ,น้องอ้อย / แพ้เพราะจน,Sun Stereo,,Thailand,"Disco, Luk Thung",https://kollektivx.com/music-legacy-projects/19-ยอดรัก-สลักใจ-น้องอ้อย-แพ้เพราะจน,https://www.discogs.com/release/13266616,https://kollektivx.com/music-legacy-projects/19-ยอดรัก-สลักใจ-น้องอ้อย-แพ้เพราะจน,https://www.discogs.com/release/13266616,ยอดรัก สลักใจน้องอ้อย / แพ้เพราะจน,,,19
2,TRUE,FALSE,Mercy Pakela,Sex Appeal,100%,Mahu,23,Mercy Pakela,Sex Appeal,Magic (25),1992,South Africa,Bubblegum,https://kollektivx.com/music-legacy-projects/23-Mercy-Pakela-Sex-Appeal,https://www.discogs.com/release/12289928,https://kollektivx.com/music-legacy-projects/23-Mercy-Pakela-Sex-Appeal,https://www.discogs.com/release/12289928,Mercy PakelaSex Appeal,,,23
3,TRUE,FALSE,Various,Midnight Lovers,100%,TopSecret,36,Various,Midnight Lovers,Jam Today,1994,UK,"Soul, Boogie, UK Street Soul",https://kollektivx.com/music-legacy-projects/36-Various-Midnight-Lovers,https://www.discogs.com/release/12848373,https://kollektivx.com/music-legacy-projects/36-Various-Midnight-Lovers,https://www.discogs.com/release/12848373,VariousMidnight Lovers,,,36
4,TRUE,FALSE,"Shichifukujin, Shichifukujin",We Are Here,100%,colebaby,46,"Shichifukujin, Shichifukujin",We Are Here,a,1988,Japan,"Synth-pop, J-pop","https://kollektivx.com/music-legacy-projects/46-Shichifukujin,-Shichifukujin-We-Are-Here",https://www.discogs.com/release/9090630,"https://kollektivx.com/music-legacy-projects/46-Shichifukujin,-Shichifukujin-We-Are-Here",https://www.discogs.com/release/9090630,"Shichifukujin, ShichifukujinWe Are Here",,,46
5,TRUE,FALSE,Beauty And Deep,The Captain Of Her Heart,100%,Oddjob,47,Beauty And Deep,The Captain Of Her Heart,Logic Light,1993,Germany,"Downtempo, House, Hip-House",https://kollektivx.com/music-legacy-projects/47-Beauty-And-Deep-The-Captain-Of-Her-Heart,https://www.discogs.com/release/1159235,https://kollektivx.com/music-legacy-projects/47-Beauty-And-Deep-The-Captain-Of-Her-Heart,https://www.discogs.com/release/1159235,Beauty And DeepThe Captain Of Her Heart,,,47
6,TRUE,FALSE,The Jets (20),Ahovy ? / Soanada,100%,schieleego,50,The Jets (20),Ahovy ? / Soanada,Playa Sound,,Madagascar,"Funk / Soul, Funk, Disco",https://kollektivx.com/music-legacy-projects/50,https://www.discogs.com/release/8444599-The-Jets-Ahovy--Soanada,https://kollektivx.com/music-legacy-projects/50,https://www.discogs.com/release/8444599-The-Jets-Ahovy--Soanada,The Jets (20)Ahovy ? / Soanada,,,50
7,TRUE,FALSE,"Terra Del Sol, Voice Of Trance, A. Anderson (4)",That's The Way Love Is,100%,pippindrainwood,54,,,Not On Label,,,"Trance, Downtempo, Ambient",https://kollektivx.com/music-legacy-projects/54-Anderson-Thats-The-Way-Love-Is,https://www.discogs.com/release/919099,https://kollektivx.com/music-legacy-projects/54-Anderson-Thats-The-Way-Love-Is,https://www.discogs.com/release/919099,"Terra Del Sol, Voice Of Trance, A. Anderson (4)That's The Way Love Is",,,54
8,TRUE,FALSE,Moodswings (2),Works Of Atreus,100%,reachit,55,,,Atreus,1991,US,"House, Breakbeat",https://kollektivx.com/music-legacy-projects/55-Moodswings-Works-Of-Atreus,https://www.discogs.com/release/313531,https://kollektivx.com/music-legacy-projects/55-Moodswings-Works-Of-Atreus,https://www.discogs.com/release/313531,Moodswings (2)Works Of Atreus,,,55
9,TRUE,FALSE,S.F.2,Dicke Luft,100%,schieleego,77,S.F.2,Dicke Luft,Polydor,1986,Austria,"Synth-pop, Pop Rock, Boogie",https://kollektivx.com/music-legacy-projects/77-S.F.2-Dicke-Luft,https://www.discogs.com/release/5553179,https://kollektivx.com/music-legacy-projects/77-S.F.2-Dicke-Luft,https://www.discogs.com/release/5553179,S.F.2Dicke Luft,,,77
10,TRUE,FALSE,"Raj Ghai, Pedro (135)",Madhouse 1,100%,AKolyupanov86,78,"Raj Ghai, Pedro (135)",Madhouse 1,"BMG, Multitone (2)",1995,UK,"House, Bhangra","https://kollektivx.com/music-legacy-projects/78-Raj-Ghai,-Pedro-Madhouse-1",https://www.discogs.com/release/15534496,"https://kollektivx.com/music-legacy-projects/78-Raj-Ghai,-Pedro-Madhouse-1",https://www.discogs.com/release/15534496,"Raj Ghai, Pedro (135)Madhouse 1",,,78
